"Nummer";"Län (lokal)";"Art";"Datum";"Vatten";"Sweref99 N (Vatten)";"Sweref99 E (Vatten)";"Lokal";"sweref99N";"sweref99E";"Metodik";"Förekomst"
14719;"Kronobergs län";"Signalkräfta";"2019-09-23";"LESSEBOÅN";6285117;514450;"Gubbamon nedre";6301974;521123;"Elfiske";"Säker"
14720;"Kronobergs län";"Signalkräfta";"2019-09-23";"LESSEBOÅN";6285117;514450;"Gubbamon nedan bro";6302473;520901;"Elfiske";"Säker"
14721;"Kronobergs län";"Signalkräfta";"2019-09-23";"LESSEBOÅN";6285117;514450;"Naturf ovan banvall";6296859;522119;"Elfiske";"Säker"
14722;"Kronobergs län";"Signalkräfta";"2019-09-23";"LESSEBOÅN";6285117;514450;"Ovan sågtorpsdammen";6304202;520191;"Elfiske";"Säker"
5486;"Kronobergs län";"Signalkräfta";"1992-01-01";"HELGE Å";6190496;452272;"Helgeån";6190496;452272;"Uppgift saknas";"Uppgift saknas"
5528;"Kronobergs län";"Signalkräfta";"1992-01-01";"SKÅLÅN";6306921;439133;"Skålån";6306921;439133;"Uppgift saknas";"Uppgift saknas"
5529;"Kronobergs län";"Signalkräfta";"2001-01-01";"SKÅLÅN";6306921;439133;"Skålån";6306921;439133;"Uppskattning";"Finns troligen"
5398;"Kronobergs län";"Signalkräfta";"1992-01-01";"HELGASJÖN";6305280;484784;"Helgasjön";6305280;484784;"Uppgift saknas";"Uppgift saknas"
5661;"Kronobergs län";"Signalkräfta";"1992-01-01";"BOLMÅN";6278392;424566;"Bolmån";6278392;424566;"Uppgift saknas";"Uppgift saknas"
5662;"Kronobergs län";"Signalkräfta";"2001-01-01";"BOLMÅN";6278392;424566;"Bolmån";6278392;424566;"Uppskattning";"Finns troligen"
5724;"Kronobergs län";"Signalkräfta";"1992-01-01";"SKÄRLEN";6337290;490873;"Skärlen";6337290;490873;"Historik";"Säker"
5725;"Kronobergs län";"Signalkräfta";"1996-01-01";"SKÄRLEN";6337290;490873;"Skärlen";6337290;490873;"Historik";"Säker"
5728;"Kronobergs län";"Signalkräfta";"2001-01-01";"LÄEN";6289661;517496;"Läen";6289661;517496;"Uppskattning";"Säker"
5729;"Kronobergs län";"Signalkräfta";"1992-01-01";"LÄEN";6289661;517496;"Läen";6289661;517496;"Uppgift saknas";"Säker"
8870;"Kronobergs län";"Signalkräfta";"2002-08-30";"RONNEBYÅN";6225547;518688;"Strömm. övre vitsipp";6256855;510044;"Elfiske";"Säker"
8871;"Kronobergs län";"Signalkräfta";"1999-08-24";"RONNEBYÅN";6225547;518688;"Bro";6270779;512480;"Elfiske";"Säker"
8872;"Kronobergs län";"Signalkräfta";"2002-08-28";"RONNEBYÅN";6225547;518688;"Bro";6270779;512480;"Elfiske";"Säker"
8873;"Kronobergs län";"Signalkräfta";"1999-08-23";"RONNEBYÅN";6225547;518688;"Skogskvarn";6281776;512550;"Elfiske";"Säker"
8874;"Kronobergs län";"Signalkräfta";"2002-08-27";"RONNEBYÅN";6225547;518688;"Skogskvarn";6281776;512550;"Elfiske";"Säker"
8875;"Kronobergs län";"Signalkräfta";"1999-08-24";"RONNEBYÅN";6225547;518688;"Bökets f d krv/getam";6256606;510147;"Elfiske";"Säker"
8923;"Kronobergs län";"Signalkräfta";"2004-08-23";"HJORTSBERGAÅN";6305187;472669;"Vid lunnatorp";6305165;469941;"Elfiske";"Säker"
8924;"Kronobergs län";"Signalkräfta";"2003-09-12";"HJORTSBERGAÅN";6305187;472669;"Vid lunnatorp";6305165;469941;"Elfiske";"Säker"
8925;"Kronobergs län";"Signalkräfta";"2002-09-06";"HJORTSBERGAÅN";6305187;472669;"Vid lunnatorp";6305165;469941;"Elfiske";"Säker"
8926;"Kronobergs län";"Signalkräfta";"2005-10-06";"HJORTSBERGAÅN";6305187;472669;"Vid lunnatorp";6305165;469941;"Elfiske";"Säker"
9018;"Kronobergs län";"Signalkräfta";"2000-07-07";"HORGEÅN";6268867;475656;"Horgeboda kvarn";6269073;475293;"Elfiske";"Säker"
9023;"Kronobergs län";"Signalkräfta";"1998-10-26";"FAGEREKEÅN";6290816;513663;"Uppstr vägen";6291681;513253;"Elfiske";"Säker"
9024;"Kronobergs län";"Signalkräfta";"1995-09-21";"FAGEREKEÅN";6290816;513663;"Mellan öjen-kvarnsjö";6291632;513334;"Elfiske";"Säker"
9029;"Kronobergs län";"Signalkräfta";"1996-09-12";"LILLÅN";6252858;512720;"Svartsjöns utlopp";6256395;513398;"Elfiske";"Säker"
9030;"Kronobergs län";"Signalkräfta";"1995-09-07";"TVÄRÅN";6308454;473371;"Vid karlsborg";6311227;471169;"Elfiske";"Säker"
8969;"Kronobergs län";"Signalkräfta";"2000-09-22";"LAGAN";6269150;373839;"Mjäryd, mellan två b";6268787;423739;"Elfiske";"Säker"
8970;"Kronobergs län";"Signalkräfta";"1999-09-23";"LAGAN";6269150;373839;"Mjäryd, mellan två b";6268787;423739;"Elfiske";"Säker"
8971;"Kronobergs län";"Signalkräfta";"2001-09-26";"LAGAN";6269150;373839;"Mjäryd, mellan två b";6268787;423739;"Elfiske";"Säker"
9131;"Kronobergs län";"Signalkräfta";"2006-10-04";"0-VATTEN";9999999;999999;"Arasjön";6260252;491111;"Fångstdata";"Säker"
9132;"Kronobergs län";"Signalkräfta";"2006-08-26";"0-VATTEN";9999999;999999;"Målasjön";6291435;454179;"Fångstdata";"Säker"
9133;"Kronobergs län";"Signalkräfta";"2005-08-29";"0-VATTEN";9999999;999999;"Kvarnen, granhult";6293106;453661;"Fångstdata";"Säker"
9134;"Kronobergs län";"Signalkräfta";"2005-08-12";"0-VATTEN";9999999;999999;"Kvarnen, granhult";6293106;453661;"Fångstdata";"Säker"
9135;"Kronobergs län";"Signalkräfta";"2005-09-05";"0-VATTEN";9999999;999999;"Kvarnen, granhult";6293106;453661;"Fångstdata";"Säker"
9136;"Kronobergs län";"Signalkräfta";"2005-08-03";"HELGASJÖN";6305280;484784;"Skräddareluckan";6314452;485245;"Fångstdata";"Säker"
9137;"Kronobergs län";"Signalkräfta";"2005-08-03";"HELGASJÖN";6305280;484784;"Horsby";6305280;484784;"Fångstdata";"Säker"
9138;"Kronobergs län";"Signalkräfta";"2005-08-02";"HELGASJÖN";6305280;484784;"Nordanskog";6316229;486704;"Fångstdata";"Säker"
9139;"Kronobergs län";"Signalkräfta";"2005-07-27";"HELGASJÖN";6305280;484784;"Jägargap";6313816;486372;"Fångstdata";"Säker"
9140;"Kronobergs län";"Signalkräfta";"2006-08-24";"HELGE Å";6190496;452272;"Granhultsån";6293106;453661;"Fångstdata";"Säker"
9141;"Kronobergs län";"Signalkräfta";"2006-08-20";"HELGE Å";6190496;452272;"Granhultsån";6293106;453661;"Fångstdata";"Säker"
9142;"Kronobergs län";"Signalkräfta";"2006-08-12";"HELGE Å";6190496;452272;"Granhultsån";6293106;453661;"Fångstdata";"Säker"
9143;"Kronobergs län";"Signalkräfta";"2006-08-07";"HELGE Å";6190496;452272;"Granhultsån";6293106;453661;"Fångstdata";"Säker"
9144;"Kronobergs län";"Signalkräfta";"2006-08-28";"HELGE Å";6190496;452272;"Granhultsån";6293106;453661;"Fångstdata";"Säker"
9145;"Kronobergs län";"Signalkräfta";"2007-08-23";"RONNEBYÅN";6225547;518688;"Ryadammen";6256303;510680;"Fångstdata";"Säker"
9146;"Kronobergs län";"Signalkräfta";"2007-08-10";"RONNEBYÅN";6225547;518688;"Ryadammen";6256303;510680;"Fångstdata";"Säker"
9147;"Kronobergs län";"Signalkräfta";"2005-08-13";"RONNEBYÅN";6225547;518688;"Ryadammen";6256303;510680;"Fångstdata";"Säker"
9148;"Kronobergs län";"Signalkräfta";"2007-09-14";"RONNEBYÅN";6225547;518688;"Ryadammen";6256303;510680;"Fångstdata";"Säker"
9149;"Kronobergs län";"Signalkräfta";"2006-08-18";"RONNEBYÅN";6225547;518688;"Söder om bro";6270114;512077;"Fångstdata";"Säker"
9150;"Kronobergs län";"Signalkräfta";"2006-08-04";"RONNEBYÅN";6225547;518688;"Söder om bro";6270114;512077;"Fångstdata";"Säker"
9151;"Kronobergs län";"Signalkräfta";"2005-08-23";"RONNEBYÅN";6225547;518688;"Söder om bro";6270114;512077;"Fångstdata";"Säker"
9152;"Kronobergs län";"Signalkräfta";"2005-08-05";"RONNEBYÅN";6225547;518688;"Söder om bro";6270114;512077;"Fångstdata";"Säker"
9153;"Kronobergs län";"Signalkräfta";"2006-09-02";"RONNEBYÅN";6225547;518688;"Söder om bro";6270114;512077;"Fångstdata";"Säker"
9154;"Kronobergs län";"Signalkräfta";"2006-08-16";"RONNEBYÅN";6225547;518688;"Ryadammen, syd-västra delen";6254602;511380;"Fångstdata";"Säker"
9155;"Kronobergs län";"Signalkräfta";"2006-08-25";"RONNEBYÅN";6225547;518688;"Ryadammen, syd-västra delen";6254602;511380;"Fångstdata";"Säker"
9156;"Kronobergs län";"Signalkräfta";"2006-08-04";"RONNEBYÅN";6225547;518688;"Ryadammen, södra delen";6254293;511493;"Fångstdata";"Säker"
9157;"Kronobergs län";"Signalkräfta";"2006-08-19";"RONNEBYÅN";6225547;518688;"Ryadammen, södra delen";6254293;511493;"Fångstdata";"Säker"
9158;"Kronobergs län";"Signalkräfta";"2006-08-18";"RONNEBYÅN";6225547;518688;"Mellan bro och korrö";6273295;513056;"Fångstdata";"Säker"
9159;"Kronobergs län";"Signalkräfta";"2006-08-04";"RONNEBYÅN";6225547;518688;"Mellan bro och korrö";6273295;513056;"Fångstdata";"Säker"
9160;"Kronobergs län";"Signalkräfta";"2005-08-24";"RONNEBYÅN";6225547;518688;"Mellan bro och korrö";6273295;513056;"Fångstdata";"Säker"
9161;"Kronobergs län";"Signalkräfta";"2005-08-05";"RONNEBYÅN";6225547;518688;"Mellan bro och korrö";6273295;513056;"Fångstdata";"Säker"
9162;"Kronobergs län";"Signalkräfta";"2006-08-18";"RONNEBYÅN";6225547;518688;"Mellan bro och korrö";6273295;513056;"Fångstdata";"Säker"
9163;"Kronobergs län";"Signalkräfta";"2006-08-08";"RONNEBYÅN";6225547;518688;"Horkoneryd";6255450;511300;"Fångstdata";"Säker"
9164;"Kronobergs län";"Signalkräfta";"2006-08-04";"RONNEBYÅN";6225547;518688;"Horkoneryd";6255450;511300;"Fångstdata";"Säker"
9165;"Kronobergs län";"Signalkräfta";"2005-09-15";"RONNEBYÅN";6225547;518688;"Horkoneryd";6255450;511300;"Fångstdata";"Säker"
9166;"Kronobergs län";"Signalkräfta";"2005-08-05";"RONNEBYÅN";6225547;518688;"Horkoneryd";6255450;511300;"Fångstdata";"Säker"
9167;"Kronobergs län";"Signalkräfta";"2006-08-12";"RONNEBYÅN";6225547;518688;"Horkoneryd";6255450;511300;"Fångstdata";"Säker"
9168;"Kronobergs län";"Signalkräfta";"2006-08-06";"RONNEBYÅN";6225547;518688;"Genesmåla";6257739;510363;"Fångstdata";"Säker"
9169;"Kronobergs län";"Signalkräfta";"2006-08-04";"RONNEBYÅN";6225547;518688;"Ryadammen, mitt delen";6256303;510680;"Fångstdata";"Säker"
9170;"Kronobergs län";"Signalkräfta";"2005-08-27";"LÄEN";6289661;517496;"Läen";6289661;517496;"Fångstdata";"Säker"
9171;"Kronobergs län";"Signalkräfta";"2005-08-06";"LÄEN";6289661;517496;"Vällö";6289598;518096;"Fångstdata";"Säker"
9172;"Kronobergs län";"Signalkräfta";"2006-09-28";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9173;"Kronobergs län";"Signalkräfta";"2006-09-24";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9174;"Kronobergs län";"Signalkräfta";"2006-09-24";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9175;"Kronobergs län";"Signalkräfta";"2006-09-22";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9176;"Kronobergs län";"Signalkräfta";"2006-09-16";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9177;"Kronobergs län";"Signalkräfta";"2006-09-16";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9178;"Kronobergs län";"Signalkräfta";"2006-09-15";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9179;"Kronobergs län";"Signalkräfta";"2006-09-15";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9180;"Kronobergs län";"Signalkräfta";"2006-09-10";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9181;"Kronobergs län";"Signalkräfta";"2006-09-08";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9182;"Kronobergs län";"Signalkräfta";"2006-09-03";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9183;"Kronobergs län";"Signalkräfta";"2006-09-02";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9184;"Kronobergs län";"Signalkräfta";"2006-09-02";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9185;"Kronobergs län";"Signalkräfta";"2006-09-02";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9186;"Kronobergs län";"Signalkräfta";"2006-09-01";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9187;"Kronobergs län";"Signalkräfta";"2006-08-28";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9188;"Kronobergs län";"Signalkräfta";"2006-08-27";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9189;"Kronobergs län";"Signalkräfta";"2006-08-27";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9190;"Kronobergs län";"Signalkräfta";"2006-08-26";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9191;"Kronobergs län";"Signalkräfta";"2006-08-26";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9192;"Kronobergs län";"Signalkräfta";"2006-08-26";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9193;"Kronobergs län";"Signalkräfta";"2006-08-25";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9194;"Kronobergs län";"Signalkräfta";"2006-08-24";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9195;"Kronobergs län";"Signalkräfta";"2006-08-22";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9196;"Kronobergs län";"Signalkräfta";"2006-08-21";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9197;"Kronobergs län";"Signalkräfta";"2006-08-19";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9198;"Kronobergs län";"Signalkräfta";"2006-08-19";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9199;"Kronobergs län";"Signalkräfta";"2006-08-19";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9200;"Kronobergs län";"Signalkräfta";"2006-08-18";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9201;"Kronobergs län";"Signalkräfta";"2006-08-17";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9202;"Kronobergs län";"Signalkräfta";"2006-08-17";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9203;"Kronobergs län";"Signalkräfta";"2006-08-17";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9204;"Kronobergs län";"Signalkräfta";"2006-08-15";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9205;"Kronobergs län";"Signalkräfta";"2006-08-13";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9206;"Kronobergs län";"Signalkräfta";"2006-08-12";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9207;"Kronobergs län";"Signalkräfta";"2006-08-11";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9208;"Kronobergs län";"Signalkräfta";"2006-08-10";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9209;"Kronobergs län";"Signalkräfta";"2006-08-09";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9210;"Kronobergs län";"Signalkräfta";"2006-08-08";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9211;"Kronobergs län";"Signalkräfta";"2006-08-07";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9212;"Kronobergs län";"Signalkräfta";"2006-08-07";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9213;"Kronobergs län";"Signalkräfta";"2006-08-06";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9214;"Kronobergs län";"Signalkräfta";"2006-08-06";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9215;"Kronobergs län";"Signalkräfta";"2006-08-05";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9216;"Kronobergs län";"Signalkräfta";"2006-08-05";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9217;"Kronobergs län";"Signalkräfta";"2006-08-05";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9218;"Kronobergs län";"Signalkräfta";"2006-08-05";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9219;"Kronobergs län";"Signalkräfta";"2006-09-30";"INNAREN";6317511;492866;"Löpanäs";6317425;494876;"Fångstdata";"Säker"
9220;"Kronobergs län";"Signalkräfta";"2006-09-17";"INNAREN";6317511;492866;"Kråkenäs/arnö/n.åreda";6315452;497979;"Fångstdata";"Säker"
9221;"Kronobergs län";"Signalkräfta";"2006-09-14";"INNAREN";6317511;492866;"Kråkenäs/arnö/n.åreda";6315452;497979;"Fångstdata";"Säker"
9222;"Kronobergs län";"Signalkräfta";"2006-09-08";"INNAREN";6317511;492866;"Kråkenäs/arnö/n.åreda";6315452;497979;"Fångstdata";"Säker"
9223;"Kronobergs län";"Signalkräfta";"2006-09-08";"INNAREN";6317511;492866;"Kråkenäs/arnö/n.åreda";6315452;497979;"Fångstdata";"Säker"
9224;"Kronobergs län";"Signalkräfta";"2006-09-07";"INNAREN";6317511;492866;"Kråkenäs/arnö/n.åreda";6315452;497979;"Fångstdata";"Säker"
9225;"Kronobergs län";"Signalkräfta";"2006-09-07";"INNAREN";6317511;492866;"Kråkenäs/arnö/n.åreda";6315452;497979;"Fångstdata";"Säker"
9226;"Kronobergs län";"Signalkräfta";"2006-09-01";"INNAREN";6317511;492866;"Kråkenäs/arnö/n.åreda";6315452;497979;"Fångstdata";"Säker"
9227;"Kronobergs län";"Signalkräfta";"2006-09-01";"INNAREN";6317511;492866;"Kråkenäs/arnö/n.åreda";6315452;497979;"Fångstdata";"Säker"
3190;"Kronobergs län";"Signalkräfta";"2006-08-03";"HJORTSBERGAÅN";6305187;472669;"Hjortsbergaån, vid lunnatorp";6305165;469941;"Elfiske";"Säker"
3222;"Kronobergs län";"Signalkräfta";"2007-08-11";"0-VATTEN";9999999;999999;"Örken";6330039;499886;"Fångstdata";"Säker"
3224;"Kronobergs län";"Signalkräfta";"2016-07-30";"HELGASJÖN";6305280;484784;"Stora smäcken";6310249;488264;"Fångstdata";"Säker"
3225;"Kronobergs län";"Signalkräfta";"2015-09-25";"HELGASJÖN";6305280;484784;"Stora smäcken";6310249;488264;"Fångstdata";"Säker"
3226;"Kronobergs län";"Signalkräfta";"2015-07-27";"HELGASJÖN";6305280;484784;"Stora smäcken";6310249;488264;"Fångstdata";"Säker"
3227;"Kronobergs län";"Signalkräfta";"2014-09-22";"HELGASJÖN";6305280;484784;"Stora smäcken";6310249;488264;"Fångstdata";"Säker"
3228;"Kronobergs län";"Signalkräfta";"2014-07-26";"HELGASJÖN";6305280;484784;"Stora smäcken";6310249;488264;"Fångstdata";"Säker"
3229;"Kronobergs län";"Signalkräfta";"2016-09-23";"HELGASJÖN";6305280;484784;"Stora smäcken";6310249;488264;"Fångstdata";"Säker"
3230;"Kronobergs län";"Signalkräfta";"2016-07-28";"HELGASJÖN";6305280;484784;"Furuholmarna";6309717;488890;"Fångstdata";"Säker"
3231;"Kronobergs län";"Signalkräfta";"2015-09-18";"HELGASJÖN";6305280;484784;"Furuholmarna";6309717;488890;"Fångstdata";"Säker"
3232;"Kronobergs län";"Signalkräfta";"2015-07-27";"HELGASJÖN";6305280;484784;"Furuholmarna";6309717;488890;"Fångstdata";"Säker"
3233;"Kronobergs län";"Signalkräfta";"2016-09-17";"HELGASJÖN";6305280;484784;"Furuholmarna";6309717;488890;"Fångstdata";"Säker"
3234;"Kronobergs län";"Signalkräfta";"2016-07-27";"HELGASJÖN";6305280;484784;"Ekö";6313270;487608;"Fångstdata";"Säker"
3235;"Kronobergs län";"Signalkräfta";"2015-09-26";"HELGASJÖN";6305280;484784;"Ekö";6313270;487608;"Fångstdata";"Säker"
3236;"Kronobergs län";"Signalkräfta";"2015-08-02";"HELGASJÖN";6305280;484784;"Ekö";6313270;487608;"Fångstdata";"Säker"
3237;"Kronobergs län";"Signalkräfta";"2014-09-19";"HELGASJÖN";6305280;484784;"Ekö";6313270;487608;"Fångstdata";"Säker"
3238;"Kronobergs län";"Signalkräfta";"2014-08-02";"HELGASJÖN";6305280;484784;"Ekö";6313270;487608;"Fångstdata";"Säker"
3239;"Kronobergs län";"Signalkräfta";"2016-09-16";"HELGASJÖN";6305280;484784;"Ekö";6313270;487608;"Fångstdata";"Säker"
3240;"Kronobergs län";"Signalkräfta";"2014-07-30";"HELGASJÖN";6305280;484784;"Furuholmarna/måssten";6309717;488890;"Fångstdata";"Säker"
3241;"Kronobergs län";"Signalkräfta";"2014-09-25";"HELGASJÖN";6305280;484784;"Furuholmarna/måssten";6309717;488890;"Fångstdata";"Säker"
3106;"Kronobergs län";"Signalkräfta";"2009-09-02";"RONNEBYÅN";6225547;518688;"Ronnebyån, skogskvarn";6281776;512550;"Elfiske";"Säker"
3107;"Kronobergs län";"Signalkräfta";"2009-09-02";"RONNEBYÅN";6225547;518688;"Ronnebyån, ugnanäs";6287270;512186;"Elfiske";"Säker"
3108;"Kronobergs län";"Signalkräfta";"2009-09-01";"RONNEBYÅN";6225547;518688;"Ronnebyån, bro";6270774;512461;"Elfiske";"Säker"
3109;"Kronobergs län";"Signalkräfta";"2009-09-01";"RONNEBYÅN";6225547;518688;"Ronnebyån, bökets f d krv/getam";6256606;510147;"Elfiske";"Säker"
18228;"Kronobergs län";"Signalkräfta";"2022-09-19";"LESSEBOÅN";6285117;514450;"Fagerhultsån";6296343;522125;"Elfiske";"Säker"
18229;"Kronobergs län";"Signalkräfta";"2022-09-12";"LESSEBOÅN";6285117;514450;"Fagerhultsån";6296859;522119;"Elfiske";"Säker"
18230;"Kronobergs län";"Signalkräfta";"2022-09-30";"LESSEBOÅN";6285117;514450;"Sandsjöån";6304307;520132;"Elfiske";"Säker"
18231;"Kronobergs län";"Signalkräfta";"2022-09-12";"LESSEBOÅN";6285117;514450;"Sandsjöån";6304100;520226;"Elfiske";"Säker"
18232;"Kronobergs län";"Signalkräfta";"2022-09-12";"LESSEBOÅN";6285117;514450;"Sandsjöån";6305022;520366;"Elfiske";"Säker"
18233;"Kronobergs län";"Signalkräfta";"2022-08-25";"FORSAÅN";6317431;528485;"Forsaån";6321132;526981;"Elfiske";"Säker"
18234;"Kronobergs län";"Signalkräfta";"2022-08-25";"FORSAÅN";6317431;528485;"Forsaån";6318528;529151;"Elfiske";"Säker"
18235;"Kronobergs län";"Signalkräfta";"2022-09-19";"HELGE Å";6190496;452272;"Helge å";6273282;438819;"Elfiske";"Säker"
18236;"Kronobergs län";"Signalkräfta";"2022-09-19";"HELGE Å";6190496;452272;"Helge å";6274258;439994;"Elfiske";"Säker"
18237;"Kronobergs län";"Signalkräfta";"2022-09-26";"HELGE Å";6190496;452272;"Helge å";6298786;450324;"Elfiske";"Säker"
18238;"Kronobergs län";"Signalkräfta";"2022-09-26";"HELGE Å";6190496;452272;"Helge å";6302458;452329;"Elfiske";"Säker"
18239;"Kronobergs län";"Signalkräfta";"2022-08-25";"HÖKABÄCKEN";6318424;522825;"Hökabäcken";6319037;523117;"Elfiske";"Säker"
18240;"Kronobergs län";"Signalkräfta";"2022-09-27";"KROKÅN";6264848;397268;"Krokån";6280068;401366;"Elfiske";"Säker"
18241;"Kronobergs län";"Signalkräfta";"2022-09-13";"AGGAÅ";6277961;490763;"Kårestadsån";6312695;508367;"Elfiske";"Säker"
18242;"Kronobergs län";"Signalkräfta";"2022-09-15";"AGGAÅ";6277961;490763;"Skyeån";6288820;495323;"Elfiske";"Säker"
18243;"Kronobergs län";"Signalkräfta";"2022-09-21";"LIDHULTSÅN";6306168;412584;"Lidhultsån";6306432;412131;"Elfiske";"Säker"
18244;"Kronobergs län";"Signalkräfta";"2022-09-15";"LILLÅN";6260542;431542;"Lillån";6259713;429942;"Elfiske";"Säker"
18245;"Kronobergs län";"Signalkräfta";"2022-09-12";"LILLÅN";6315514;538794;"Lillån";6316361;537734;"Elfiske";"Säker"
18246;"Kronobergs län";"Signalkräfta";"2022-09-14";"LUGNÅN";6327512;488210;"Lugnån";6336416;487214;"Elfiske";"Säker"
15518;"Kronobergs län";"Signalkräfta";"2022-07-21";"NORRESJÖ";6302440;484677;"Sundet, n bergundasjön";6301726;485762;"Observation";"Finns troligen"
15541;"Kronobergs län";"Signalkräfta";"2020-08-09";"BERGSJÖN";6324471;485457;"Västra bergsjön";6325423;483583;"Observation";"Finns troligen"
3006;"Kronobergs län";"Signalkräfta";"2009-09-27";"BOLMÅN";6278392;424566;"Bolmån, kvarnrännan brusarp";6287849;425484;"Elfiske";"Säker"
3007;"Kronobergs län";"Signalkräfta";"2009-09-27";"BOLMÅN";6278392;424566;"Bolmån, leons damm";6287858;425414;"Elfiske";"Säker"
9914;"Kronobergs län";"Signalkräfta";"1993-12-31";"BOSKVARNASJÖN";6342726;508462;"Boskvarnasjön";6342726;508462;"Enkät";"Säker"
9886;"Kronobergs län";"Signalkräfta";"1993-12-31";"SKÄRLEN";6337290;490873;"Skärlen";6337290;490873;"Enkät";"Säker"
15877;"Kronobergs län";"Signalkräfta";"2021-09-13";"ALSTERÅN";6309499;587381;"17 km nedstr skahus";6317450;528374;"Elfiske";"Säker"
15878;"Kronobergs län";"Signalkräfta";"2020-08-27";"ALSTERÅN";6309499;587381;"17 km nedstr skahus";6317450;528374;"Elfiske";"Säker"
15890;"Kronobergs län";"Signalkräfta";"2022-08-26";"ALSTERÅN";6309499;587381;"Nedstr bro";6313903;546020;"Elfiske";"Säker"
15891;"Kronobergs län";"Signalkräfta";"2022-08-26";"ALSTERÅN";6309499;587381;"Getaströmmen 2";6314164;545981;"Elfiske";"Säker"
15793;"Kronobergs län";"Signalkräfta";"2021-08-26";"0-VATTEN";9999999;999999;"Bäck från vasen, ned vasen";6288231;511613;"Elfiske";"Säker"
