"Nummer";"Län (lokal)";"Art";"Datum";"Vatten";"Sweref99 N (Vatten)";"Sweref99 E (Vatten)";"Lokal";"sweref99N";"sweref99E";"Metodik";"Förekomst"
3460;"Värmlands län";"Signalkräfta";"2004-10-15";"HÄTTÄLVEN";6606722;461394;"Hättälven";6605858;462559;"Observation";"Finns troligen"
3461;"Värmlands län";"Signalkräfta";"2004-06-22";"VELEN";6676602;381878;"Velen";6676602;381878;"Observation";"Finns troligen"
3462;"Värmlands län";"Signalkräfta";"2006-08-23";"MANGEN";6620687;379261;"Södre delen";6623608;377422;"Fångstdata";"Säker"
3463;"Värmlands län";"Signalkräfta";"2005-09-02";"HAGÄLVEN";6655156;426449;"Från stor-ullen, hagfors";6652020;427477;"Fångstdata";"Säker"
3464;"Värmlands län";"Signalkräfta";"2007-12-18";"MELLAN LERSJÖN";6638794;389586;"Lersjön";6638902;389405;"Fångstdata";"Finns troligen"
3465;"Värmlands län";"Signalkräfta";"2007-12-18";"LERÄLVEN";6633848;396253;"Lerälven";6637487;392190;"Observation";"Finns troligen"
3466;"Värmlands län";"Signalkräfta";"2007-08-31";"GLAFSFJORDEN";6580971;375455;"Kyrkviken";6615256;363325;"Fångstdata";"Säker"
3467;"Värmlands län";"Signalkräfta";"2004-10-15";"GLAFSFJORDEN";6580971;375455;"Glafsfjorden";6601989;372072;"Observation";"Finns troligen"
3468;"Värmlands län";"Signalkräfta";"2006-11-09";"KLACKSJÖN";6599656;395619;"Klacksjön";6598826;396009;"Fångstdata";"Finns troligen"
3469;"Värmlands län";"Signalkräfta";"2006-11-09";"STORFORSÄLVEN";6598858;457541;"Kroppaälven";6611369;460989;"Observation";"Finns troligen"
3470;"Värmlands län";"Signalkräfta";"2003-09-19";"STORFORSÄLVEN";6598858;457541;"Storforsälven";6599715;458662;"Observation";"Säker"
3471;"Värmlands län";"Signalkräfta";"2006-11-09";"KRAMPSÅNGEN";6614542;462469;"Krampsången";6614809;463022;"Observation";"Finns troligen"
3472;"Värmlands län";"Signalkräfta";"2006-09-07";"MÖGESJÖN";6608905;321805;"Mögesjön";6609342;328156;"Observation";"Säker"
3473;"Värmlands län";"Signalkräfta";"2006-09-07";"LILLA KROKTJÄRN";6610172;328236;"Lilla kroktjärn";6610172;328236;"Observation";"Säker"
3474;"Värmlands län";"Signalkräfta";"1998-01-01";"GRUNDSJÖN";6635285;451921;"Grundsjön";6635689;452226;"Utsättning";"Säker"
3475;"Värmlands län";"Signalkräfta";"2006-06-05";"GRUNDSJÖN";6635285;451921;"Grundsjön";6635689;452226;"Observation";"Säker"
3476;"Värmlands län";"Signalkräfta";"2006-03-29";"DJUPRÄMMEN";6658038;455382;"Djuprämmen";6659159;453408;"Observation";"Säker"
3477;"Värmlands län";"Signalkräfta";"2005-09-06";"MOLKOMSSJÖN";6603480;426558;"Molkomsjön";6607009;428275;"Observation";"Finns troligen"
3478;"Värmlands län";"Signalkräfta";"2005-08-24";"HYTTÄLVEN";6638680;427830;"Sunnemo";6638755;428219;"Fångstdata";"Säker"
3479;"Värmlands län";"Signalkräfta";"2005-08-18";"ALSTERSÄLVEN";6584658;420759;"Alsterån, karlstad";6584907;420716;"Observation";"Säker"
3480;"Värmlands län";"Signalkräfta";"2005-06-28";"ÖSTRA ÖRTEN";6614010;426091;"Färnsviken";6615933;425627;"Fångstdata";"Säker"
3481;"Värmlands län";"Signalkräfta";"2005-06-28";"ÖSTRA ÖRTEN";6614010;426091;"Utloppsälven";6614010;426091;"Fångstdata";"Säker"
3482;"Värmlands län";"Signalkräfta";"2005-03-15";"BUÅA";6639092;330333;"Buåa, skillingmark";6642953;331341;"Fångstdata";"Säker"
3483;"Värmlands län";"Signalkräfta";"2004-09-04";"ÖVRE FRYKEN";6638414;396147;"Övre fryken";6638414;396147;"Observation";"Säker"
3484;"Värmlands län";"Signalkräfta";"2004-09-04";"ROTTNEN";6632362;389174;"Rottnen";6639859;385075;"Observation";"Finns troligen"
3485;"Värmlands län";"Signalkräfta";"2004-08-11";"FJÄLLSJÖN";6631179;356015;"Fjällsjön";6632641;355737;"Observation";"Finns troligen"
3486;"Värmlands län";"Signalkräfta";"2004-01-01";"BORTAÄLVEN";6645903;361073;"Bortaälven";6646498;361479;"Observation";"Finns troligen"
3487;"Värmlands län";"Signalkräfta";"2003-09-19";"GLASÄLVEN";6601974;365855;"Glasälven";6601974;365855;"Observation";"Finns troligen"
3488;"Värmlands län";"Signalkräfta";"2003-09-19";"DAGLÖSEN";6611099;457183;"Daglösen";6613572;454808;"Observation";"Finns troligen"
3489;"Värmlands län";"Signalkräfta";"2004-10-15";"YPPERSBYTJÄRNET";6608488;373103;"Yppersbytjärnet";6608234;372726;"Observation";"Finns troligen"
3490;"Värmlands län";"Signalkräfta";"2004-10-15";"INGERSBYTJÄRNET";6608646;374580;"Ingersbytjärnet";6608691;374110;"Utsättning";"Finns troligen"
3491;"Värmlands län";"Signalkräfta";"2004-10-07";"BILLINGEN";6600763;374796;"Billingen";6601404;375767;"Observation";"Finns troligen"
3492;"Värmlands län";"Signalkräfta";"2004-09-04";"NEDRE FRYKEN";6601744;403770;"Nedre fryken";6601744;403770;"Observation";"Finns troligen"
3493;"Värmlands län";"Signalkräfta";"2004-09-01";"ROMMEN";6599646;381606;"Rommen";6599922;380423;"Observation";"Säker"
3494;"Värmlands län";"Signalkräfta";"2003-09-19";"VALUNDABÄCKEN";6550331;451211;"Valundabäcken";6553583;450632;"Observation";"Finns troligen"
3495;"Värmlands län";"Signalkräfta";"2003-09-19";"TVÄRÄLVEN";6641615;464469;"Tvärälven";6614156;462285;"Observation";"Finns troligen"
3496;"Värmlands län";"Signalkräfta";"2003-09-19";"TORPSJÖN";6611509;395485;"Torpsjön";6611509;395485;"Observation";"Finns troligen"
3497;"Värmlands län";"Signalkräfta";"2003-09-19";"RÖJDAN";6667462;389736;"Röjdaälven (röjdån)";6667462;389736;"Observation";"Finns troligen"
3498;"Värmlands län";"Signalkräfta";"2003-09-19";"HORNTJÄRN";6655511;384215;"Horntjärn";6655608;384153;"Observation";"Finns troligen"
3499;"Värmlands län";"Signalkräfta";"2003-09-19";"BOTUNGEN";6580593;370672;"Viltvattnet vid botungen";6582450;371277;"Observation";"Finns troligen"
3500;"Värmlands län";"Signalkräfta";"2003-09-19";"BOTUNGEN";6580593;370672;"Botungen";6580593;370672;"Observation";"Finns troligen"
3501;"Värmlands län";"Signalkräfta";"2003-09-19";"APLUNGEN";6622115;393907;"Aplungen";6622780;392621;"Observation";"Säker"
3502;"Värmlands län";"Signalkräfta";"2002-09-19";"STRUVEN";6592568;329519;"Struven";6586009;326050;"Observation";"Säker"
3504;"Värmlands län";"Signalkräfta";"2008-09-15";"STORA LE";6580544;320420;"Bråtarna";6570583;318611;"Fångstdata";"Säker"
3505;"Värmlands län";"Signalkräfta";"2007-10-01";"LILLA SALUNGEN";6633406;373939;"Lilla salungen";6633406;373939;"Fångstdata";"Säker"
3506;"Värmlands län";"Signalkräfta";"2008-07-01";"0-VATTEN";9999999;999999;"Bäck mellan gapern och mellsjötjärnet";6597117;426905;"Fångstdata";"Säker"
21;"Värmlands län";"Signalkräfta";"2006-11-13";"KLACKSJÖN";6599656;395619;"Klacksjön";6599656;395619;"Uppskattning";"Finns troligen"
22;"Värmlands län";"Signalkräfta";"2006-09-29";"STORA FLAT";6612774;328504;"Stora flat";6612774;328504;"Fångstdata";"Säker"
6;"Värmlands län";"Signalkräfta";"2009-05-15";"LYSAN";6655371;395741;"Lysvik, 350 m uppströms mynningen";6655562;395778;"Fångstdata";"Säker"
19;"Värmlands län";"Signalkräfta";"2008-06-17";"NYSOCKENSJÖN";6620563;358343;"Nysockensjön";6620563;358343;"Fångstdata";"Säker"
10;"Värmlands län";"Signalkräfta";"2012-05-13";"BYÄLVEN";6552758;379835;"Byälven, badplatsen";6573963;373741;"Observation";"Säker"
4564;"Värmlands län";"Signalkräfta";"1992-01-01";"0-VATTEN";9999999;999999;"Uppsjön 1:6";6564348;452252;"Historik";"Finns troligen"
4565;"Värmlands län";"Signalkräfta";"1996-01-01";"0-VATTEN";9999999;999999;"Uppsjön 1:6";6564348;452252;"Historik";"Finns troligen"
1674;"Värmlands län";"Signalkräfta";"2015-08-26";"LYSAN";6655371;395741;"Lysan, lysvik";6655622;395818;"Elfiske";"Säker"
1608;"Värmlands län";"Signalkräfta";"2015-09-04";"GÄLLÄLVEN";6659993;428030;"Gällälven, nedstr bron";6660392;427965;"Elfiske";"Säker"
17180;"Västerbottens län";"Signalkräfta";"2023-10-01";"UMEÄLVEN";7079900;762407;"Bölesvatten";7088071;757242;"Kännedom";"Saknas troligen"
7259;"Västerbottens län";"Signalkräfta";"2000-01-01";"LÅNGVATTNET";7229417;572292;"Långvattnet";7229417;572292;"Uppskattning";"Finns troligen"
5821;"Västerbottens län";"Signalkräfta";"2000-01-01";"UMEÄLVEN";7079900;762407;"Barselet";7206458;622063;"Uppskattning";"Finns troligen"
15567;"Västerbottens län";"Signalkräfta";"2008-01-01";"UMEÄLVEN";7079900;762407;"Bölesvatten";7088071;757242;"Enkät";"Säker"
18728;"Västernorrlands län";"Signalkräfta";"2023-07-26";"INDALSÄLVEN";6932703;625548;"Norra lundevallen (indalsälven)";6933948;621065;"Observation";"Finns troligen"
18729;"Västernorrlands län";"Signalkräfta";"2023-07-13";"INRE LEMESJÖN";7066385;697736;"Lomviken 198";7068089;694990;"Observation";"Finns troligen"
15287;"Västernorrlands län";"Signalkräfta";"2020-01-01";"INDALSÄLVEN";6932703;625548;"Nedan bergeforsens kraftverk";6935446;623208;"Inventeringsfiske";"Säker"
15288;"Västernorrlands län";"Signalkräfta";"2020-01-01";"INDALSÄLVEN";6932703;625548;"Ovan bergeforsens kraftverk";6933957;622361;"Inventeringsfiske";"Säker"
14993;"Västernorrlands län";"Signalkräfta";"2020-03-16";"INDALSÄLVEN";6932703;625548;"Bergeforsen";6933305;620948;"Kännedom";"Säker"
