Repr_Calle;species;longitude;latitude
1;Margaritifera1;16.4231953200;61.1909482531
1;Margaritifera1;14.7836290900;61.6464823638
1;Margaritifera1;15.6244394900;61.8918141927
1;Margaritifera1;19.0979071800;64.3980095807
1;Margaritifera1;19.0884059400;65.5341375022
1;Margaritifera1;19.1834189800;66.5666393687
1;Margaritifera1;13.6841169100;57.8817847044
1;Margaritifera1;14.7809608100;59.1787701332
1;Margaritifera1;15.1047198800;59.8071061638
1;Margaritifera1;15.4737605200;61.6429967043
1;Margaritifera1;16.8126950600;62.3154624057
1;Margaritifera1;21.0219127100;66.2467164912
1;Margaritifera1;13.7190203900;57.5616672742
1;Margaritifera1;16.0014347300;60.7677426460
1;Margaritifera1;15.5207564900;62.5262209292
1;Margaritifera1;15.6115847500;59.9994714478
1;Margaritifera1;15.1086922700;60.2052973009
1;Margaritifera1;16.2594146200;62.0988153896
1;Margaritifera1;15.6776142500;64.1409927399
0;Margaritifera0;20.2098360300;65.2886755440
0;Margaritifera0;16.5770117300;61.0112962762
0;Margaritifera0;21.8711255600;66.4107707812
0;Margaritifera0;16.5613245300;61.5068785609
0;Margaritifera0;16.7812540900;61.6009114696
0;Margaritifera0;12.1676543800;57.4956244580
0;Margaritifera0;16.4897560800;61.1242345448
0;Margaritifera0;16.7626798400;61.4202055175
0;Margaritifera0;19.8035340100;66.0741195855
0;Margaritifera0;15.5820772900;57.4225280401
0;Margaritifera0;13.0136266800;60.1524534357
0;Margaritifera0;14.8269984900;60.0776271764
0;Margaritifera0;12.6641754400;57.0521040631
0;Margaritifera0;16.9350416500;61.5902720040
0;Margaritifera0;14.9808209500;61.8038023777
0;Margaritifera0;16.8846627500;61.8347012891
0;Margaritifera0;14.2552699100;58.4169419305
0;Margaritifera0;15.2545366500;62.3448079960
0;Margaritifera0;16.0391441500;62.4161718819
0;Margaritifera0;17.6396114000;63.0013696575
0;Margaritifera0;12.1933982400;59.8223805790
0;Margaritifera0;12.2154916500;58.7509191554
0;Margaritifera0;18.6828720500;63.3278334467
0;Margaritifera0;18.0844885400;63.5708355109
0;Margaritifera0;16.1734075000;60.9821431822
0;Margaritifera0;12.2121941200;58.7743819112
0;Margaritifera0;12.4392519100;59.7579684823
0;Margaritifera0;17.8134137900;62.7340333403
0;Margaritifera0;18.5149577100;63.2022327560
0;Margaritifera0;13.3709890000;56.0494331744
0;Margaritifera0;20.2636958500;65.9490043725
0;Margaritifera0;13.9764394800;55.9295774842
0;Margaritifera0;13.9477616300;55.9488975227
0;Margaritifera0;15.3024817500;61.9809957495
0;Margaritifera0;14.8405024700;62.4738726147
0;Margaritifera0;14.7782650800;59.7098014429
0;Margaritifera0;15.7035515500;61.3202230808
0;Margaritifera0;16.0931931700;62.2397986933
0;Margaritifera0;16.2437410500;62.7118077467
0;Margaritifera0;14.1911222600;64.4603168437
0;Margaritifera0;14.8405218200;62.4738816128
0;Margaritifera0;14.0819803100;57.9447226622
0;Margaritifera0;12.1290895000;57.5409390535
0;Margaritifera0;12.3930750400;57.6969422122
0;Margaritifera0;15.9762083500;62.6144723612
0;Margaritifera0;16.3941556300;60.9511098652
0;Margaritifera0;15.8957681600;61.7055599955
0;Margaritifera0;16.0979272200;61.6686807789
0;Margaritifera0;16.9136140200;62.1516238346
0;Margaritifera0;15.6155972100;57.4404696822
0;Margaritifera0;12.5174167400;57.6555908005
0;Margaritifera0;13.1332230200;60.0245893597
0;Margaritifera0;17.3101278000;62.5760533021
0;Margaritifera0;17.0352554400;63.4127122325
0;Margaritifera0;12.8978898600;59.6866013911
0;Margaritifera0;16.0732415900;61.2093195842
0;Margaritifera0;16.1851279400;61.6234853146
0;Margaritifera0;15.7570316100;62.0673952059
0;Margaritifera0;15.0820333000;59.7071882905
0;Margaritifera0;12.6484930600;57.0914768600
0;Margaritifera0;13.0551488300;56.6257335726
0;Margaritifera0;16.8910032400;62.2023521633
0;Margaritifera0;17.9889119200;62.9806257638
0;Margaritifera0;12.5503226600;57.3053640363
0;Margaritifera0;12.7745444900;57.4934981228
0;Margaritifera0;12.7070070700;57.1284435614
0;Margaritifera0;16.8079476800;62.2225850566
0;Margaritifera0;17.7202989000;62.5151722895
0;Margaritifera0;14.9270811800;59.4136237324
0;Margaritifera0;16.8182056600;61.5453170674
0;Margaritifera0;13.6702879500;59.9280162504
0;Margaritifera0;16.9280007700;62.1973350097
0;Margaritifera0;19.9783860700;65.3261024054
0;Margaritifera0;13.7687558700;57.8744410045
0;Margaritifera0;12.6801575400;57.1038482452
0;Margaritifera0;16.9437537900;62.5233150123
0;Margaritifera0;17.6730448500;63.0243255064
0;Margaritifera0;14.4195664700;58.9348003783
0;Margaritifera0;13.8376060300;60.2584649161
0;Margaritifera0;14.3062337800;60.6368913002
0;Margaritifera0;13.7693802300;60.8571917160
0;Margaritifera0;13.0752497100;61.5078827048
0;Margaritifera0;16.4675001400;61.7536127769
0;Margaritifera0;12.6407032000;57.0709221044
0;Margaritifera0;12.9953311600;57.6265758290
0;Margaritifera0;15.5410655000;59.9024051193
0;Margaritifera0;15.5344705300;59.7989593920
0;Margaritifera0;15.1438707600;62.2852837561
0;Margaritifera0;17.6412567700;63.5882928791
0;Margaritifera0;12.8343223800;56.7732020531
0;Margaritifera0;14.4509144400;62.5147217935
0;Margaritifera0;16.0938932900;62.2458438024
0;Margaritifera0;17.7655348800;63.2016976277
0;Margaritifera0;16.7589470000;63.9201604065
0;Margaritifera0;16.3633566700;61.2152862587
0;Margaritifera0;15.6651211000;61.9297401329
0;Margaritifera0;15.4849575800;62.2610386938
0;Margaritifera0;13.0767336300;56.4007857450
0;Margaritifera0;12.8027078300;56.8718766969
0;Margaritifera0;15.1095645800;59.2666464584
0;Margaritifera0;17.0238049000;61.9790129070
0;Margaritifera0;17.0360635200;63.6940174331
0;Margaritifera0;16.1270734600;61.1306968482
0;Margaritifera0;15.9420394300;61.6104901792
0;Margaritifera0;18.0119291500;62.8593919411
0;Margaritifera0;16.1758808000;61.1989325277
0;Margaritifera0;14.9356449500;62.0700545237
0;Margaritifera0;20.1904435600;64.1788036563
0;Margaritifera0;18.5859216500;66.4028823565
0;Margaritifera0;13.1250855500;56.3886939028
0;Margaritifera0;15.9658124300;61.0581143463
0;Margaritifera0;16.3929225400;60.7820928692
0;Margaritifera0;22.0325771500;66.0397933818
0;Margaritifera0;20.6977171700;66.8357964197
0;Margaritifera0;13.7048813700;56.0863219868
0;Margaritifera0;16.2325476500;60.8981459838
0;Margaritifera0;16.4203570800;61.1927828492
0;Margaritifera0;16.0118668400;61.4246678923
0;Margaritifera0;16.3162951800;63.9219050660
0;Margaritifera0;12.5236504600;57.2679156822
0;Margaritifera0;16.7654955200;62.4919942901
0;Margaritifera0;17.9684457400;63.3968252544
0;Margaritifera0;12.9270779000;56.3628319394
0;Margaritifera0;15.9361668300;61.2761551579
0;Margaritifera0;12.6970693900;61.0633497909
0;Margaritifera0;15.2817476900;61.9361920838
0;Margaritifera0;17.8411648100;63.4665233576
0;Margaritifera0;15.8220622000;60.5670360993
0;Margaritifera0;14.7290014900;60.7613196747
0;Margaritifera0;16.6196189700;61.1093350789
0;Margaritifera0;14.0577032800;57.9744392624
0;Margaritifera0;18.5915245500;63.6052058908
0;Margaritifera0;15.4924640000;61.5160004178
0;Margaritifera0;15.7131155200;61.7739169133
0;Margaritifera0;16.3040965900;61.7118446229
0;Margaritifera0;14.8665392100;61.7916470611
0;Margaritifera0;16.5805211300;62.3159344891
0;Margaritifera0;16.1240028600;61.2396595475
0;Margaritifera0;18.2092453800;64.7281077642
0;Margaritifera0;19.7222359100;65.8608236412
0;Margaritifera0;14.0050087100;57.8839589640
0;Margaritifera0;16.5175753600;61.9417517506
0;Margaritifera0;20.8375200300;65.2055657629
0;Margaritifera0;15.4931756500;61.9338650935
0;Margaritifera0;22.1251074200;66.0722832312
0;Margaritifera0;16.6530737600;62.3436326773
0;Margaritifera0;20.4237479900;66.5367119553
0;Margaritifera0;17.8669693900;64.8496265462
0;Margaritifera0;12.3291971700;57.6966882167
0;Margaritifera0;16.6455358900;61.9476276131
0;Margaritifera0;16.8401493600;62.4065322780
0;Margaritifera0;15.0826092000;58.1978613902
0;Margaritifera0;17.1783300600;61.9889432010
0;Margaritifera0;14.5890839400;59.3470197683
0;Margaritifera0;15.6344042200;62.4178653959
0;Margaritifera0;12.6718484000;59.1284036426
0;Margaritifera0;15.7150905700;61.7871480910
0;Margaritifera0;13.1009755300;56.4450571451
0;Margaritifera0;20.1659006100;64.0936788590
0;Margaritifera0;17.4907738000;62.2235508505
0;Margaritifera0;19.2977307300;64.7512830439
0;Margaritifera0;18.5441312200;64.9983790197
0;Margaritifera0;18.9526671500;64.1793171290
0;Margaritifera0;19.2585427900;64.6710655971
0;Margaritifera0;12.6731239600;57.3859925468
0;Margaritifera0;12.4290590500;57.7934995755
0;Margaritifera0;13.2485757800;59.9429294470
0;Margaritifera0;16.6964821200;63.8090389816
0;Margaritifera0;17.1474342800;65.5522962361
0;Margaritifera0;16.8004337200;61.4752958858
0;Margaritifera0;14.8699985400;56.3189646253
0;Margaritifera0;13.7003535000;56.1720602133
0;Margaritifera0;14.9662803400;62.3990638135
0;Margaritifera0;14.8277490400;60.0749882773
0;Margaritifera0;15.4391814600;59.6455064415
0;Margaritifera0;16.6441233900;65.1150181220
0;Margaritifera0;14.8850668800;59.4490018647
0;Margaritifera0;13.0408565900;56.5154736426
0;Margaritifera0;12.0002086600;59.5314613167
0;Margaritifera0;22.1407958300;66.1425405483
0;Margaritifera0;13.8887200400;55.9566729685
0;Margaritifera0;12.9093486100;60.0348710977
0;Margaritifera0;12.4839540400;57.3658812030
0;Margaritifera0;15.6742902200;56.2158045678
0;Margaritifera0;13.7413265400;56.0992698058
0;Margaritifera0;16.4843894800;61.7986739388
0;Margaritifera0;19.0280336100;63.5706223118
0;Margaritifera0;14.9325465800;59.6063631201
0;Margaritifera0;16.2492213800;63.8685653217
0;Margaritifera0;19.0606188300;63.6956539224
0;Margaritifera0;14.9669757700;59.5314304380
0;Margaritifera0;15.4804687300;63.4349546965
0;Margaritifera0;15.0120539400;62.1619068191
0;Margaritifera0;19.5443203000;64.2100095486
1;Margaritifera1;15.0189521600;56.3924251398
1;Margaritifera1;13.0506346000;57.6696782195
1;Margaritifera1;14.8808855600;59.2285076761
1;Margaritifera1;15.6335598300;60.7483449592
1;Margaritifera1;15.7286744800;62.2327026331
0;Margaritifera0;15.8828983500;65.0279316000
0;Margaritifera0;17.0916152300;61.0448206892
0;Margaritifera0;18.1257940000;63.4483335610
0;Margaritifera0;19.7974743300;66.0171868030
1;Margaritifera1;15.6548705800;59.9689399071
0;Margaritifera0;19.7776319700;63.8386881356
0;Margaritifera0;19.7638927500;65.3985465992
0;Margaritifera0;22.1230262800;66.7491642872
0;Margaritifera0;15.5082334800;57.6615848774
0;Margaritifera0;15.5082334800;57.6615848774
0;Margaritifera0;13.0325414100;56.5736538265
0;Margaritifera0;18.0130448500;64.1088739236
0;Margaritifera0;19.3300508400;63.5924250882
0;Margaritifera0;20.1269958800;63.9697941874
0;Margaritifera0;17.3279157200;63.9260410280
0;Margaritifera0;19.2966526800;64.7486085875
0;Margaritifera0;20.2901101100;64.7814992176
0;Margaritifera0;20.8778856600;64.8475010572
0;Margaritifera0;19.1458492600;65.0801065028
0;Margaritifera0;17.2145193100;65.0582913149
0;Margaritifera0;21.1920659100;65.1453985877
0;Margaritifera0;17.9416739000;65.3403151626
0;Margaritifera0;12.5342248700;57.3255744968
0;Margaritifera0;13.6197726300;57.5997818569
0;Margaritifera0;12.4670206200;57.4517497915
0;Margaritifera0;12.9906623700;57.5555202952
0;Margaritifera0;12.7388517300;57.5220398404
0;Margaritifera0;12.5392218700;57.5268679185
0;Margaritifera0;12.4706981900;57.5415805462
0;Margaritifera0;12.4380114000;57.5598827049
